516;Central English Channel;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9280;1564;9280;1564;9280;1564;9280;1564;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9285;1537;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
517;Western English Channel;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9115;1600;9122;1594;9115;1600;9115;1600;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9102;1576;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
518;Lille;;;;Temperate;clear;;15;80;;3;504;6;3;0;0;45;0;9386;1566;9427;1565;9407;1525;9379;1554;1;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9436;1556;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
519;Somme River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9424;1599;9424;1599;9424;1599;9424;1599;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9459;1601;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
520;Sedan;;;;Temperate;forest;;15;60;;0;0;5;3;0;0;40;0;9516;1614;9516;1614;9516;1614;9516;1614;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9512;1610;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
521;Seine River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9432;1725;9432;1725;9432;1725;9432;1725;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9410;1671;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
522;Rouen;;;;Temperate;clear;;15;80;;0;0;5;3;0;0;0;0;9317;1625;9359;1624;9329;1593;9333;1620;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9354;1619;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
523;Bourges;;;;Temperate;clear;;15;80;;0;0;3;3;0;0;0;0;9395;1798;9395;1798;9395;1798;9395;1798;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9391;1776;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
524;Auxerre;;;;Temperate;clear;;15;80;;0;0;3;3;0;0;0;0;9455;1808;9446;1777;9464;1791;9464;1791;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9455;1770;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
525;Troyes;;;;Temperate;clear;;15;80;;0;0;3;3;0;0;0;0;9517;1780;9513;1758;9513;1758;9513;1758;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9511;1732;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
526;Orleans;;;;Temperate;clear;;15;80;;0;0;5;3;0;0;0;0;9363;1748;9370;1736;9370;1736;9370;1736;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9346;1721;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
527;Paris;;;;Temperate;clear;;15;90;;0;0;25;10;0;0;0;0;9420;1707;9399;1701;9399;1701;9399;1701;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9383;1688;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
528;Amiens;;;;Temperate;clear;;15;80;;0;0;3;3;0;0;0;0;9449;1613;9436;1632;9436;1632;9436;1632;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9421;1632;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
529;Reims;;;;Temperate;clear;;15;80;;0;0;3;3;0;0;80;0;9452;1680;9479;1675;9479;1675;9479;1675;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9480;1669;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
530;Lower Loire River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9289;1769;9289;1769;9289;1769;9289;1769;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9247;1787;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
531;Caen;;;;Temperate;clear;;15;60;;2;0;3;1;0;0;0;0;9281;1672;9281;1672;9268;1626;9287;1643;3;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9293;1659;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
532;Cherbourg;;;;Temperate;clear;;15;60;;2;516;3;1;0;0;0;0;9228;1638;9228;1638;9221;1589;9237;1604;4;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9225;1635;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
533;Rennes;;;;Temperate;clear;;15;60;;0;0;3;3;0;0;0;0;9221;1747;9221;1747;9221;1747;9221;1747;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9232;1746;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
534;Le Mans;;;;Temperate;clear;;15;60;;0;0;3;3;0;0;0;0;9290;1761;9295;1749;9295;1749;9295;1749;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9289;1744;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
535;Cholet;;;;Temperate;clear;;15;60;;0;0;3;3;0;0;0;0;9179;1827;9210;1836;9165;1852;9187;1840;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9207;1830;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
536;Nantes;;;;Temperate;clear;;15;60;;0;540;6;3;0;0;0;0;9156;1785;9175;1776;9131;1787;9165;1780;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9163;1770;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
537;Saint-Malo;;;;Temperate;clear;;15;60;;2;0;3;1;0;0;0;0;9130;1662;9158;1684;9128;1637;9168;1668;4;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9149;1679;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
538;Brest;;;;Temperate;clear;;15;60;;1;517;3;2;0;0;0;0;9041;1665;9061;1681;9043;1641;9035;1695;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9065;1675;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
539;Lorient;;;;Temperate;clear;;15;60;;0;540;3;2;0;0;0;0;9125;1743;9117;1733;9102;1753;9120;1750;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9121;1723;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
540;Coast of Vendee;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9044;1783;9044;1783;9044;1783;9044;1783;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9083;1811;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
541;Bern;;;;Subarctic;mountain;;4;60;;0;0;5;2;0;0;0;0;9718;1885;9737;1873;9737;1873;9737;1873;0;9799;1865;8;9791;1870;5;9686;1884;2;9765;1850;7;9732;1859;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
542;Colmar;;;;Temperate;hills;;4;60;;0;0;3;3;0;0;0;0;9674;1836;9671;1815;9671;1815;9671;1815;0;9680;1779;5;-100;-100;0;-100;-100;0;-100;-100;0;9665;1830;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
543;Nancy;;;;Temperate;clear;;15;60;;0;0;4;3;0;0;0;0;9615;1805;9602;1787;9601;1791;9601;1791;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9608;1790;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
544;Dijon;;;;Temperate;clear;;15;60;;0;0;3;3;0;0;0;0;9630;1850;9541;1842;9582;1837;9582;1837;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9597;1845;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
545;Saint Etienne;;;;Temperate;mountain;;4;60;;0;0;3;3;0;0;0;0;9549;1881;9524;1918;9552;1936;9552;1936;0;9520;1991;5;9586;1866;5;9569;1866;4;9527;1868;2;9524;1885;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
546;Upper Rhine River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9757;1801;9757;1801;9757;1801;9757;1801;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9708;1835;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
547;Freiburg;;;;Temperate;mountain;;6;60;;0;0;5;3;0;25;25;0;9726;1820;9765;1792;9765;1792;9765;1792;0;9777;1819;8;9761;1823;7;-100;-100;0;-100;-100;0;9753;1790;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
548;Antwerpen;;;;Temperate;clear;;15;60;;1;504;12;5;0;0;0;0;9481;1530;9510;1560;9490;1504;9498;1506;14;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9520;1539;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
549;Maas River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9639;1608;9639;1608;9639;1608;9639;1608;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9637;1487;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
550;Amsterdam;;;;Temperate;marsh;;15;60;;1;504;15;3;0;0;0;0;9614;1466;9594;1441;9558;1445;9577;1431;1;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9590;1446;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
551;Eindhoven;;;;Temperate;clear;;15;60;;0;0;8;3;0;20;65;0;9554;1486;9581;1507;9530;1468;9581;1507;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9619;1507;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
552;Bruxelles;;;;Temperate;clear;;15;60;;0;0;15;5;0;50;50;0;9549;1572;9564;1590;9576;1563;9545;1534;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9591;1562;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
553;Luxemburg;;;;Temperate;forest;;15;60;;0;0;6;3;0;10;40;0;9645;1656;9645;1656;9645;1656;9645;1656;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9636;1657;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
554;Metz;;;;Temperate;hills;;15;60;;0;0;6;3;0;80;80;0;9627;1734;9618;1708;9614;1701;9614;1701;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9611;1699;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
555;Strasbourg ;;;;Temperate;hills;;15;60;;0;0;3;3;0;40;80;0;9696;1743;9691;1726;9691;1726;9691;1726;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9672;1718;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
556;Chaumont;;;;Temperate;forest;;15;60;;0;0;3;3;0;0;0;0;9566;1693;9566;1693;9566;1693;9566;1693;0;9570;1635;3;-100;-100;0;-100;-100;0;-100;-100;0;9552;1680;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
557;Arlon;;;;Temperate;forest;;15;60;;0;0;3;3;0;50;100;0;9620;1625;9620;1625;9620;1625;9620;1625;0;9640;1587;6;-100;-100;0;-100;-100;0;-100;-100;0;9627;1604;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
558;K�ln;;;;Temperate;clear;;15;80;;0;0;25;15;0;80;170;0;9685;1615;9673;1600;9683;1601;9683;1601;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9686;1614;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
559;Essen;;;;Temperate;clear;;15;80;;0;0;20;15;0;80;170;0;9711;1560;9731;1566;9714;1539;9714;1539;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9726;1531;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
560;Saarbr�cken;;;;Temperate;hills;;15;80;;0;0;15;5;0;80;180;0;9711;1661;9711;1661;9711;1661;9711;1661;0;9733;1688;5;-100;-100;0;-100;-100;0;-100;-100;0;9729;1649;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
561;Arnhem;;;;Temperate;clear;;15;60;;0;0;6;3;0;0;0;0;9668;1464;9668;1464;9642;1434;9668;1464;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9663;1472;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
562;M�nchen;;;;Temperate;clear;;15;80;;0;0;25;15;0;0;60;0;9935;1790;9960;1811;9960;1811;9960;1811;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9931;1810;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
563;Bolzano;;;;Subarctic;mountain;;4;60;;0;0;3;3;0;15;15;0;9910;1977;9905;1958;9905;1958;9905;1958;0;9991;1935;8;9825;1965;8;9837;1978;5;-100;-100;0;9905;1939;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
564;Z�rich;;;;Subarctic;mountain;;10;60;;0;0;5;3;0;0;0;0;9790;1926;9807;1923;9807;1923;9807;1923;0;9841;1925;2;9851;1930;2;9777;1900;8;-100;-100;0;9821;1906;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
565;Bregenz ;;;;Subarctic;mountain;;8;60;;0;0;5;2;0;5;5;0;9927;1891;9884;1882;9884;1882;9884;1882;0;9886;1903;1;9896;1907;2;9934;1852;3;9849;1881;4;9897;1885;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
566;Konstanz;;;;Subarctic;hills;;15;60;;0;0;3;2;0;0;0;0;9863;1843;9841;1820;9841;1820;9841;1820;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9848;1812;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
567;Venezia;;;;Mediterranean;clear;;15;60;;0;568;6;3;0;0;0;0;10012;1996;9964;2011;10016;2010;10012;1996;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9993;1980;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
568;Gulf of Venice;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;10060;2072;10053;2103;10060;2072;10060;2072;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10041;2074;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
569;Rijeka;;;;Mediterranean;hills;;15;40;;0;0;1;1;0;0;0;0;10141;2036;10141;2036;10130;2061;10141;2036;0;10127;1976;3;-100;-100;0;-100;-100;0;-100;-100;0;10139;2007;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
570;Ljubljana;;;;Mediterranean;mountain;;6;40;;0;0;5;3;0;0;10;0;10135;1942;10111;1951;10111;1951;10111;1951;0;10068;1937;1;10079;1939;2;10168;1911;2;-100;-100;0;10104;1943;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
571;Klagenfurt;;;;Temperate;mountain;;6;60;;0;0;5;2;0;10;0;0;10075;1904;10095;1881;10095;1881;10095;1881;0;10054;1877;2;-100;-100;0;-100;-100;0;-100;-100;0;10064;1872;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
572;Upper Donau River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9952;1803;9952;1803;9952;1803;9952;1803;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9895;1768;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
573;Innsbruck;;;;Subarctic;mountain;;8;60;;0;0;8;1;0;0;0;0;9980;1907;9984;1902;10009;1883;10009;1883;0;10041;1915;8;9969;1918;2;9971;1855;3;-100;-100;0;9991;1865;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
574;N�rnberg;;;;Temperate;forest;;15;80;;0;0;12;5;0;0;0;0;9992;1746;9987;1716;9985;1726;9985;1726;0;10029;1743;5;-100;-100;0;-100;-100;0;-100;-100;0;9979;1710;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
575;Mannheim;;;;Temperate;clear;;15;80;;0;0;10;3;0;0;0;0;9823;1693;9831;1671;9831;1671;9831;1671;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9857;1674;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
576;W�rzburg;;;;Temperate;clear;;15;80;;0;0;10;3;0;0;0;0;9922;1726;9926;1709;9926;1709;9926;1709;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9898;1702;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
577;Stuttgart;;;;Temperate;mountain;;15;80;;0;0;17;5;0;0;30;0;9822;1763;9802;1748;9802;1748;9802;1748;0;9836;1780;2;9847;1780;4;9775;1714;4;-100;-100;0;9838;1755;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
578;Karlsbad;;;;Temperate;mountain;;15;80;;0;0;10;3;0;5;0;0;10033;1628;10009;1651;10033;1628;10033;1628;0;9990;1644;1;9980;1645;6;10092;1613;2;10081;1613;3;9981;1640;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
579;Erfurt;;;;Temperate;clear;;15;80;;0;0;10;3;0;0;40;0;9898;1623;9903;1590;9903;1590;9903;1590;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9883;1590;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
580;Halle;;;;Temperate;forest;;15;80;;0;0;20;5;0;0;60;0;9956;1543;9934;1548;9956;1543;9956;1543;0;9961;1497;1;9972;1497;4;9981;1501;5;9984;1503;7;9957;1541;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
581;Weser River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9810;1445;9810;1445;9810;1445;9810;1445;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9800;1444;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
582;M�nster;;;;Temperate;clear;;15;80;;0;0;15;2;5;0;160;0;9766;1480;9766;1480;9766;1480;9766;1480;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9766;1472;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
583;Hannover;;;;Temperate;clear;;15;80;;0;0;25;5;0;40;160;0;9865;1462;9879;1494;9865;1462;9865;1462;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9876;1433;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
584;Elbe River;;;;;river;;;0;;0;0;0;0;0;0;0;0;9955;1462;9955;1462;9955;1462;9955;1462;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9941;1396;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
585;Magdeburg;;;;Temperate;clear;;15;80;;0;0;15;5;0;0;40;0;9967;1466;9953;1458;9957;1448;9957;1448;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9947;1432;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
586;Kiel;;;;Temperate;clear;;15;80;;0;597;15;0;0;0;0;0;9856;1326;9856;1326;9809;1296;9856;1326;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9846;1315;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
587;L�beck;;;;Temperate;clear;;15;80;;0;0;15;10;0;0;0;0;9920;1385;9906;1355;9950;1321;9906;1355;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9893;1357;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
588;Hamburg;;;;Temperate;clear;;15;80;;2;597;25;10;0;0;0;0;9828;1370;9828;1370;9788;1323;9785;1350;10;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9831;1381;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
589;Wilhelmshafen;;;;Temperate;clear;;15;80;;2;591;20;5;0;0;0;0;9760;1398;9760;1398;9725;1359;9744;1358;2;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9761;1403;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
590;Groningen;;;;Temperate;clear;;15;60;;1;0;5;3;0;0;0;0;9684;1398;9684;1398;9644;1366;9648;1378;2;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9677;1387;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
591;Waddenzee;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9609;1359;9573;1327;9609;1359;9609;1359;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9669;1309;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
592;Southern North Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9680;1210;9544;1215;9680;1210;9680;1210;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9595;1193;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
593;Skagerrak;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9796;1100;9764;1114;9796;1100;9796;1100;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9758;1084;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
594;K�benhavn;;;;Temperate;clear;;15;60;;3;657;10;3;0;10;20;0;10005;1254;9973;1269;10012;1292;9978;1315;15;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9982;1260;9938;1279;10003;1305;9966;1309;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
595;Kolding;;;;Temperate;clear;;15;40;;0;0;5;1;0;0;0;0;9851;1268;9851;1268;9810;1255;9851;1268;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9853;1262;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
596;Odense;;;;Temperate;clear;;15;40;;3;657;7;1;0;0;0;0;9915;1253;9915;1253;9916;1276;9932;1246;13;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9918;1245;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
597;Helgoland Bight;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9758;1249;9758;1249;9758;1249;9758;1249;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9748;1247;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
598;Rostock;;;;Temperate;clear;;15;80;;2;600;15;2;0;0;0;0;10017;1354;10004;1379;10065;1366;9981;1350;11;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10005;1364;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
599;Stettin;;;;Temperate;clear;;15;80;;0;0;10;2;0;0;0;0;10167;1380;10145;1402;10196;1331;10167;1380;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10138;1383;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
600;Pommeranian Bay;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;10096;1339;10069;1323;10096;1339;10096;1339;14;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10080;1338;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
601;Oder River;;;;;river;;;0;;0;0;0;0;0;0;0;0;10188;1518;10188;1518;10188;1518;10188;1518;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10101;1452;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
602;Berlin;;;;Temperate;clear;;20;99;;0;0;40;15;0;0;0;0;10053;1476;10060;1451;10057;1465;10057;1465;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10060;1472;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
603;Breslau;;;;Temperate;clear;;15;80;;0;0;15;3;0;25;150;0;10233;1610;10174;1563;10219;1593;10219;1593;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10183;1578;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
604;Dresden;;;;Temperate;forest;;15;80;;0;0;10;5;0;10;30;0;10094;1537;10117;1553;10087;1546;10087;1546;1;10074;1502;7;10092;1507;3;10098;1508;7;10082;1509;1;10091;1535;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
605;Leipzig ;;;;Temperate;forest;;15;80;;0;0;10;3;0;35;30;0;10009;1602;10011;1584;10010;1584;10010;1584;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10021;1575;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
606;Poznan;;;;Temperate;clear;;15;80;;0;0;6;3;0;0;30;0;10245;1507;10230;1508;10239;1488;10239;1488;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;10233;1480;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
